Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,00A_Register,200,0,200.0,222.30393950000908,64.526399999977,1049.9030999999377,33.0,0.3333150101508898,0.0,200,240,270,290,340,400,650,810,1000,1000,1000
POST,00b_PostAddress,200,0,110.0,182.87152300000906,33.21150000010675,1464.2808999999488,33.0,0.3333150101508898,0.0,110,130,150,170,600,720,840,980,1500,1500,1500
POST,00c_PostCard,200,0,110.0,193.31504650000045,31.355500000017855,1634.5106000001124,33.0,0.3333150101508898,0.0,110,130,170,200,560,670,720,980,1600,1600,1600
GET,01_Home,91375,0,120.0,125.29976266703163,15.62740000008489,1626.3056000000233,8649.0,152.2832952626878,0.0,120,140,150,160,170,190,220,380,720,1500,1600
POST,03_AddToCart,91318,0,400.0,408.07103244048204,39.07119999985298,1593.0131000000074,0.0,152.18830048479478,0.0,400,460,510,530,600,650,720,790,1100,1500,1600
POST,04_Checkout,91219,0,360.0,378.20546389019887,45.65660000002936,1732.0916999999554,592.0,152.0233095547701,0.0,360,410,440,470,540,600,690,760,1100,1700,1700
DELETE,05_CleanupCart,91182,0,270.0,290.5214734289672,32.437299999855895,1634.838400000035,0.0,151.96164627789219,0.0,270,320,360,380,440,500,570,640,940,1600,1600
,Aggregated,365694,0,290.0,300.3140539814707,15.62740000008489,1732.0916999999554,2308.826021208989,609.4564966105976,0.0,290,360,400,430,520,580,660,720,1000,1600,1700
