Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,00A_Register,287,0,410.0,488.5244425087149,59.784299999591894,8739.647599999898,33.0,0.4346767379261081,0.0,410,490,530,530,550,710,4400,4500,8700,8700,8700
POST,00b_PostAddress,287,0,180.0,227.28879825784293,22.968000000219035,1937.4015999997027,33.0,0.4346767379261081,0.0,180,210,230,250,290,360,1900,1900,1900,1900,1900
POST,00c_PostCard,287,0,180.0,233.338377700352,26.232299999719544,2670.994199999768,33.0,0.4346767379261081,0.0,180,210,230,240,330,470,1600,2700,2700,2700,2700
GET,01_Home,121181,0,150.0,150.46034489070004,15.649100000246108,8530.4828000003,8649.0,183.5350584621035,0.0,150,170,180,180,210,230,250,280,960,7900,8500
POST,03_AddToCart,121075,0,440.0,461.39416143382203,33.38510000003225,8873.518100000183,0.0,183.37451583415867,0.0,440,510,550,580,660,720,790,850,2800,8500,8900
POST,04_Checkout,120956,0,490.0,494.3121449535368,43.6531999998806,8875.606400000379,592.0,183.19428401599419,0.0,490,530,570,590,660,730,830,930,2400,8700,8900
DELETE,05_CleanupCart,120927,0,300.0,316.7688572254348,27.83800000042902,8607.313599999998,0.0,183.15036197627344,0.0,300,340,380,400,470,510,570,620,1900,4300,8600
,Aggregated,485000,0,350.0,355.5970454989693,15.649100000246108,8875.606400000379,2308.7192453608245,734.5582505023082,0.0,350,430,480,510,590,660,750,820,2000,8100,8900
