Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,00A_Register,202,0,240.0,237.68952673266864,71.7568999998548,500.40310000008503,33.0,0.31683152476031157,0.0,240,280,300,320,340,370,390,400,500,500,500
POST,00b_PostAddress,202,0,120.0,126.10824108910742,35.14190000009876,542.2401000000718,33.0,0.31683152476031157,0.0,120,140,150,170,190,220,260,270,540,540,540
POST,00c_PostCard,202,0,120.0,128.67398316832512,35.94910000015261,605.1319000000603,33.0,0.31683152476031157,0.0,120,140,160,160,180,200,290,440,610,610,610
GET,01_Home,120809,0,120.0,118.54098368664535,18.64490000002661,1465.1380000000245,8649.0,189.4856419542994,0.0,120,130,140,140,160,180,200,220,550,1400,1500
POST,03_AddToCart,120785,0,270.0,273.51907000786537,41.920199999822216,1735.240400000066,0.0,189.44799860482294,0.0,270,300,310,330,360,390,440,470,830,1500,1700
POST,04_Checkout,120675,0,350.0,359.9397614568053,61.35700000004363,1680.92949999982,592.0,189.27546658638911,0.0,350,390,410,420,470,520,580,630,980,1600,1700
DELETE,05_CleanupCart,120635,0,190.0,198.00253191611068,33.27169999988655,10381.490199999917,0.0,189.212727670595,0.0,190,210,230,240,270,290,330,370,890,1500,10000
,Aggregated,483510,0,220.0,237.3871564482637,18.64490000002661,10381.490199999917,2308.8180989017806,758.3723293903874,0.0,220,280,310,330,390,430,490,550,850,1500,10000
