Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1777577716854,1757,800,800,800,800,800,800,800,1000,800,800,899,800,800,1039,800,89.74359130859375,94.87179565429688,100.0,100.0,100.0,100.0,100.0,100.0,95.1219482421875,94.87179565429688,97.5,92.5,100.0,92.30769348144533,97.56097412109376,100.0,72120.90991210938,211145.6265258789,0,404331384832,8589930496,41164685312,0
199,1777577717054,1757,800,800,800,800,800,800,800,1000,800,800,899,800,800,1039,800,65.0,60.00000381469727,68.42105102539062,65.0,70.0,71.42857360839844,95.0,63.15789031982422,55.55555725097656,61.904762268066406,57.89473724365234,55.0,60.00000381469727,52.6315803527832,75.0,50.0,72125.92126464844,211153.8648071289,0,404331384832,8589930496,41163239424,0
200,1777577717254,1757,800,800,800,800,800,800,800,1000,800,800,899,800,800,1039,800,65.0,60.00000381469727,68.42105102539062,65.0,70.0,71.42857360839844,95.0,63.15789031982422,55.55555725097656,61.904762268066406,57.89473724365234,55.0,60.00000381469727,52.6315803527832,75.0,50.0,72131.19873046875,211163.110534668,0,404331384832,8589930496,41163464704,0
199,1777577717454,1757,800,800,800,800,800,800,800,1000,800,800,899,800,800,1039,800,92.30769348144533,84.61538696289062,92.5,92.5,90.0,90.0,90.0,92.30769348144533,90.0,89.74359130859375,92.5,78.94737243652344,89.74359130859375,92.30769348144533,97.5,90.0,72136.2466430664,211172.71923828125,0,404331384832,8589930496,41163464704,0
199,1777577717654,1757,800,800,800,800,800,800,800,1000,800,800,899,800,800,1039,800,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,72141.19921875,211182.5380859375,0,404331384832,8589930496,41164292096,0
199,1777577717854,1757,800,800,800,800,800,800,800,1000,800,800,899,800,800,1039,800,60.00000381469727,55.55555725097656,70.0,65.0,65.0,68.42105102539062,72.22222137451172,71.42857360839844,63.15789031982422,61.11111068725586,61.904762268066406,50.0,57.89473724365234,55.55555725097656,100.0,73.68421173095703,72146.21569824219,211190.8011474609,0,404331384832,8589930496,41163296768,0
200,1777577718054,1757,800,800,800,800,800,800,800,1000,800,800,899,800,800,1039,800,63.15789031982422,57.89473724365234,89.47368621826172,68.42105102539062,68.42105102539062,70.0,66.66667175292969,66.66667175292969,61.11111068725586,52.6315803527832,61.11111068725586,57.89473724365234,57.89473724365234,60.00000381469727,70.0,80.95238494873047,72151.36297607422,211199.24975585935,0,404331384832,8589930496,41164746752,0
199,1777577718255,1757,800,800,800,800,800,800,800,1000,800,800,899,800,800,1039,800,90.47618865966795,90.0,100.0,90.90909576416016,95.23809814453124,94.73684692382812,94.73684692382812,95.0,90.90909576416016,90.0,90.0,90.47618865966795,90.0,89.47368621826172,90.47618865966795,90.0,72156.53582763672,211208.88702392575,0,404331384832,8589930496,41169465344,0
199,1777577718455,1757,800,800,800,800,800,800,800,1000,800,800,899,800,800,1039,800,100.0,94.73684692382812,100.0,100.0,100.0,100.0,100.0,100.0,88.8888931274414,100.0,100.0,94.73684692382812,95.0,100.0,100.0,100.0,72161.73876953125,211218.71740722656,0,404331384832,8589930496,41168977920,0
199,1777577718655,1757,800,800,800,800,800,800,800,1000,800,800,899,800,800,1039,800,80.95238494873047,76.19047546386719,100.0,100.0,100.0,100.0,100.0,100.0,80.0,94.73684692382812,80.0,73.68421173095703,77.77777862548828,75.0,100.0,100.0,72166.73223876953,211227.81762695315,0,404331384832,8589930496,41168936960,0
200,1777577718855,1757,800,800,800,800,800,800,800,1000,800,800,899,800,800,1039,800,68.42105102539062,65.0,78.94737243652344,73.68421173095703,85.0,85.0,80.0,84.21052551269531,65.0,70.0,57.89473724365234,63.15789031982422,65.0,63.15789031982422,85.0,84.21052551269531,72171.9467163086,211236.43212890625,0,404331384832,8589930496,41169870848,0
199,1777577719055,1757,800,800,800,800,800,800,800,1000,800,800,899,800,800,1039,800,85.0,76.47058868408203,89.47368621826172,80.95238494873047,95.0,90.0,85.71428680419922,85.0,84.21052551269531,84.21052551269531,75.0,80.95238494873047,85.0,90.47618865966795,100.0,78.94737243652344,72177.22875976562,211245.81506347656,0,404331384832,8589930496,41170968576,0
199,1777577719255,1757,800,800,800,800,800,800,800,1000,800,800,899,800,800,1039,800,95.0,100.0,100.0,100.0,100.0,95.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72182.458984375,211255.85186767575,0,404331384832,8589930496,41170739200,0
199,1777577719455,1757,800,800,800,800,800,800,800,1000,800,800,899,800,800,1039,800,94.44444274902344,89.47368621826172,88.8888931274414,95.0,100.0,100.0,90.47618865966795,95.0,95.23809814453124,85.0,94.73684692382812,95.0,90.0,94.44444274902344,95.23809814453124,100.0,72187.64764404297,211265.49182128903,0,404331384832,8589930496,41170763776,0
199,1777577719655,1757,800,800,800,800,800,800,800,1000,800,800,899,800,800,1039,800,95.4545440673828,100.0,100.0,95.0,95.0,100.0,100.0,100.0,95.0,95.0,95.23809814453124,100.0,100.0,95.4545440673828,100.0,95.0,72192.78686523438,211275.36529541016,0,404331384832,8589930496,41171734528,0
199,1777577719855,1757,800,800,800,800,800,800,800,1000,800,800,899,800,800,1039,800,73.68421173095703,73.68421173095703,90.0,95.23809814453124,95.0,100.0,90.0,95.0,85.0,80.95238494873047,73.68421173095703,68.42105102539062,80.95238494873047,78.94737243652344,90.47618865966795,95.0,72197.84191894531,211284.4783935547,0,404331384832,8589930496,41171369984,0
199,1777577720056,1757,800,800,800,800,800,800,800,1000,800,800,899,800,800,1039,800,73.68421173095703,73.68421173095703,90.0,95.23809814453124,95.0,100.0,90.0,95.0,85.0,80.95238494873047,73.68421173095703,68.42105102539062,80.95238494873047,78.94737243652344,90.47618865966795,95.0,72202.97662353516,211293.5776977539,0,404331384832,8589930496,41173209088,0
199,1777577720256,1757,800,800,800,800,800,800,800,1000,800,800,899,800,800,1039,800,78.94737243652344,68.42105102539062,85.71428680419922,90.47618865966795,85.0,85.0,90.0,90.0,72.22222137451172,78.94737243652344,61.11111068725586,78.94737243652344,71.42857360839844,85.0,84.21052551269531,89.47368621826172,72208.0767211914,211302.52032470703,0,404331384832,8589930496,41172959232,0
199,1777577720456,1757,800,800,800,800,800,800,800,1000,800,800,899,800,800,1039,800,60.00000381469727,60.00000381469727,72.22222137451172,73.68421173095703,73.68421173095703,70.0,94.73684692382812,66.66667175292969,63.15789031982422,65.0,65.0,71.42857360839844,63.15789031982422,52.6315803527832,70.0,78.94737243652344,72212.90393066406,211310.79248046875,0,404331384832,8589930496,41174294528,0
199,1777577720656,1757,800,800,800,800,800,800,800,1000,800,800,899,800,800,1039,800,90.0,89.47368621826172,95.23809814453124,95.23809814453124,95.0,95.0,100.0,90.0,85.0,78.94737243652344,85.0,83.33332824707031,90.0,90.0,94.73684692382812,85.71428680419922,72217.97723388672,211320.19171142575,0,404331384832,8589930496,41175285760,0
199,1777577720856,1757,800,800,800,800,800,800,800,1000,800,800,899,800,800,1039,800,90.0,90.47618865966795,100.0,100.0,100.0,100.0,100.0,95.23809814453124,100.0,85.0,94.73684692382812,95.0,95.0,100.0,100.0,100.0,72223.45947265625,211330.18341064453,0,404331384832,8589930496,41178259456,0
199,1777577721056,1757,800,800,800,800,800,800,800,1000,800,800,899,800,800,1039,800,73.68421173095703,78.94737243652344,100.0,95.0,95.23809814453124,95.0,95.23809814453124,83.33332824707031,80.0,84.21052551269531,80.95238494873047,75.0,84.21052551269531,80.95238494873047,95.23809814453124,94.73684692382812,72228.47833251953,211339.1908569336,0,404331384832,8589930496,41180295168,0
199,1777577721256,1757,800,800,800,800,800,800,800,1000,800,800,899,800,800,1039,800,95.23809814453124,95.23809814453124,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,95.0,95.23809814453124,100.0,100.0,95.23809814453124,72233.81640625,211349.1762084961,0,404331384832,8589930496,41181937664,0
199,1777577721456,1757,800,800,800,800,800,800,800,1000,800,800,899,800,800,1039,800,95.23809814453124,95.23809814453124,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,95.0,95.23809814453124,100.0,100.0,95.23809814453124,72238.97772216797,211358.74731445315,0,404331384832,8589930496,41182666752,0
199,1777577721656,1757,800,800,800,800,800,800,800,1000,800,800,899,800,800,1039,800,65.0,68.42105102539062,73.68421173095703,70.0,73.68421173095703,80.0,76.19047546386719,80.0,57.89473724365234,68.42105102539062,57.89473724365234,66.66667175292969,63.15789031982422,61.904762268066406,73.68421173095703,100.0,72243.97491455078,211367.23260498047,0,404331384832,8589930496,41175003136,0
199,1777577721856,1757,800,800,800,800,800,800,800,1000,800,800,899,800,800,1039,800,65.0,68.42105102539062,73.68421173095703,70.0,73.68421173095703,80.0,76.19047546386719,80.0,57.89473724365234,68.42105102539062,57.89473724365234,66.66667175292969,63.15789031982422,61.904762268066406,73.68421173095703,100.0,72249.10388183594,211376.4747314453,0,404331384832,8589930496,41177804800,0
