Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,00A_Register,200,0,150.0,161.91362850007863,61.7593000006309,988.4326999999757,33.0,0.33334636858415045,0.0,150,170,190,210,230,250,310,560,990,990,990
POST,00b_PostAddress,200,0,100.0,105.0262224999824,22.77450000110548,410.0726999986364,33.0,0.33334636858415045,0.0,100,120,120,130,150,170,190,210,410,410,410
POST,00c_PostCard,200,0,99,109.04085700007272,21.418899999844143,588.0754000008892,33.0,0.33334636858415045,0.0,99,120,130,140,160,180,220,580,590,590,590
GET,01_Home,85951,0,53,60.38341804167124,15.660700000807992,558.424599999853,8649.0,143.25726863088158,0.0,53,65,68,74,84,99,110,130,460,470,560
POST,03_AddToCart,85942,0,94,102.92139314304619,25.32950000022538,596.5470999999525,0.0,143.2422680442953,0.0,94,110,120,130,150,170,230,410,490,560,600
POST,04_Checkout,85874,0,180.0,196.34304931527626,46.72709999977087,1193.2001000004675,592.0,143.1289302789767,0.0,180,210,220,240,280,330,450,570,920,1200,1200
DELETE,05_CleanupCart,85816,0,71,77.30965954367345,19.345099999554805,541.4326000009169,0.0,143.03225983208728,0.0,71,82,89,97,110,130,140,160,460,510,540
,Aggregated,344183,0,84,109.26062715328557,15.660700000807992,1193.2001000004675,2307.6311351809936,573.6607658919933,0.0,84,110,130,150,200,240,320,420,650,1100,1200
