Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,00A_Register,200,0,160.0,168.42923100000917,63.14830000019356,1022.3682999999255,33.0,0.33168312863814536,0.0,160,180,190,200,220,260,280,1000,1000,1000,1000
POST,00b_PostAddress,200,0,95,98.94004849999646,31.582199999775185,214.90559999983816,33.0,0.33168312863814536,0.0,95,110,120,120,140,160,180,180,210,210,210
POST,00c_PostCard,200,0,98,107.77331200000162,27.46019999995042,648.9575000000514,33.0,0.33168312863814536,0.0,98,110,130,140,170,190,200,580,650,650,650
GET,01_Home,83607,1,57,64.87846895834048,16.164699999990262,640.7844000000296,8648.896683292069,138.6551566802471,0.0016584156431907267,57,67,72,79,93,110,130,190,520,610,640
POST,03_AddToCart,83513,1,98,109.38518880892877,26.974100000188628,711.0764999997627,0.00013171602026031874,138.49926560978716,0.0016584156431907267,98,110,130,130,160,190,240,440,550,660,710
POST,04_Checkout,83501,1,190.0,208.799203396367,25.550899999871035,1276.075899999796,591.9916288427684,138.47936462206889,0.0016584156431907267,190,220,240,260,310,380,470,590,770,800,1300
DELETE,05_CleanupCart,83476,1,75,80.91036163927355,21.667900000011286,646.5675000004012,0.0,138.43790423098912,0.0016584156431907267,75,84,95,98,120,130,160,170,520,640,650
,Aggregated,334697,4,89,115.99573218911482,16.164699999990262,1276.075899999796,2308.2370293130803,555.0667405290067,0.006633662572762907,89,120,140,160,220,270,370,450,690,790,1300
