Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,00A_Register,216,0,200.0,215.2726870370357,46.847200000001976,824.8312000000624,33.0,0.17872166267187953,0.0,200,240,250,270,310,390,640,730,820,820,820
POST,00b_PostAddress,216,0,130.0,150.3463828703683,24.06410000003234,621.4947999999367,33.0,0.17872166267187953,0.0,130,160,180,180,230,350,490,540,620,620,620
POST,00c_PostCard,216,0,150.0,238.86403287037035,33.5079000000178,2941.6475000000446,33.0,0.17872166267187953,0.0,160,200,250,310,580,640,730,880,2900,2900,2900
GET,01_Home,256970,0,120.0,127.24413429699948,16.08839999994416,2846.140500000047,8649.0,212.62085952218925,0.0,120,140,150,150,170,190,210,230,620,910,2800
POST,03_AddToCart,256883,0,240.0,243.34801162941855,23.69340000007014,3039.293300000054,0.0,212.54887440805754,0.0,240,260,270,280,310,330,360,390,710,2100,3000
POST,04_Checkout,256819,0,400.0,411.78530111634933,41.21440000005805,4543.598700000075,592.0,212.49591984133994,0.0,400,440,470,490,540,590,650,690,970,2800,4500
DELETE,05_CleanupCart,256766,0,170.0,172.63809950733315,21.822799999995368,4600.058399999966,0.0,212.45206684077692,0.0,170,180,190,200,220,240,270,290,660,1100,4600
,Aggregated,1028086,0,200.0,238.7177184762757,16.08839999994416,4600.058399999966,2309.720939687925,850.6538856003793,0.0,200,260,300,340,430,490,560,610,810,2200,4600
