Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,00_Admin_Auto_Register,135,0,230.0,255.59499703708246,137.77269999991404,1098.1352999988303,239.0,0.2008457121637518,0.0,230,250,270,280,330,380,560,1100,1100,1100,1100
GET,01_Admin_Order,856,0,170.0,198.30479077106858,50.37369999990915,1104.2514000000665,1239812.9439252336,1.2735105897197891,0.0,170,200,210,230,330,470,620,730,1100,1100,1100
POST,01_Query_Routes,5426,0,600.0,633.0847620162367,151.59739999944577,4785.198400000809,327.0,8.072509882966795,0.0,600,760,860,920,1100,1200,1300,1500,3000,4800,4800
PUT,02_Admin_Update_Order,852,0,66,72.22764260560227,24.996300000566407,365.37630000020727,485.9119718309859,1.267559605655678,0.0,66,80,88,96,110,120,140,160,370,370,370
GET,02_Select_Contact,5417,0,60,64.33937572456651,14.451799999733339,479.4645000001765,459.0,8.059120168822544,0.0,60,71,81,84,100,110,130,160,470,480,480
GET,03_Admin_Route,848,0,63,67.72070294810094,22.119999999631546,1150.7676999990508,1793.0,1.261608621591567,0.0,63,74,83,87,100,120,140,160,1200,1200,1200
GET,03_Visit_Booking_Page,5413,0,53,57.109059467957,16.44560000022466,308.6122000004252,37992.0,8.053169184758433,0.0,53,65,73,80,94,100,120,130,250,310,310
POST,04_Admin_Update_Route,848,0,68,71.53163408018047,25.529599999572383,261.39340000008815,235.0,1.261608621591567,0.0,68,81,87,95,110,120,140,150,260,260,260
POST,04_Confirm_Booking,5337,5,1300.0,4226.441487539839,254.70150000001013,60088.10369999992,46.133970395353195,7.940100487540321,0.0074387300801389555,1300,2500,4300,6000,12000,19000,27000,35000,60000,60000,60000
GET,05_Admin_Route,848,0,130.0,143.57096839624637,64.28300000152376,1183.5659000007581,5482.022405660377,1.261608621591567,0.0,130,150,160,160,180,250,360,420,1200,1200,1200
POST,05_Fetch_Unpaid_Orders,5328,0,81,85.01147047672175,28.522599999632803,448.80710000143154,8361.185247747748,7.926710773396071,0.0,81,95,100,110,120,130,150,160,330,450,450
PUT,06_Admin_Update_Travel,845,0,66,71.17171857990427,23.88759999848844,269.0636999996059,272.0,1.2571453835434836,0.0,66,81,88,97,110,120,140,160,270,270,270
POST,06_Pay_Order,5315,4,120.0,127.58302551271365,46.45249999884982,1199.48420000037,60.412982126058324,7.90737007518771,0.005950984064111165,120,130,150,150,180,200,240,320,930,1200,1200
GET,07_Admin_Get_User,843,0,66,70.8983037960155,26.09400000073947,324.21830000021146,25472.67141162515,1.2541698915114279,0.0,66,80,87,95,110,120,140,160,320,320,320
GET,07_Collect_Ticket,5304,4,71,77.82814485294027,21.87969999977213,976.6497000000527,40.07843137254902,7.891004869011404,0.005950984064111165,71,84,95,99,120,130,150,180,770,980,980
POST,0AA_LoginAdmin,135,0,220.0,228.99993111119934,141.91810000011174,647.9299000002356,341.0,0.2008457121637518,0.0,220,230,250,250,300,330,410,650,650,650,650
POST,0A_Login,135,0,200.0,222.55852222237823,122.00579999989714,591.6206000001694,370.0,0.2008457121637518,0.0,200,220,240,250,280,440,500,550,590,590,590
,Aggregated,43885,13,95,658.0752729634353,14.451799999733339,60088.10369999992,30651.329884926512,65.2897339133796,0.019340698208361283,95,130,230,380,920,1800,7900,14000,37000,60000,60000
