Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1780936304715,800,2100,800,2100,802,800,2000,800,800,800,800,2099,854,800,2100,2200,42.105262756347656,47.36842346191406,80.0,94.73684692382812,38.88888931274414,35.0,65.0,60.00000381469727,55.0,60.00000381469727,55.0,61.904762268066406,70.0,50.0,36.84210586547852,60.00000381469727,220099.4315185547,106828.60302734376,0,404331982848,8589930496,6247428096,0
199,1780936304916,800,2100,800,2100,802,800,2000,800,800,800,800,2099,854,800,2100,2200,60.00000381469727,85.0,100.0,90.47618865966795,70.0,73.68421173095703,68.42105102539062,70.0,68.42105102539062,85.0,47.36842346191406,52.6315803527832,80.0,63.15789031982422,47.36842346191406,60.00000381469727,220102.95025634769,106838.30572509766,0,404331982848,8589930496,6251720704,0
199,1780936305116,800,2100,800,2100,802,800,2000,800,800,800,800,2099,854,800,2100,2200,60.00000381469727,73.68421173095703,78.94737243652344,31.57894515991211,71.42857360839844,57.89473724365234,52.38095474243164,90.0,42.105262756347656,60.00000381469727,47.36842346191406,63.15789031982422,55.0,65.0,71.42857360839844,68.42105102539062,220106.43627929688,106847.58917236328,0,404331982848,8589930496,6252490752,0
200,1780936305316,800,2100,800,2100,802,800,2000,800,800,800,800,2099,854,800,2100,2200,55.0,65.0,70.0,55.0,68.42105102539062,71.42857360839844,68.42105102539062,68.42105102539062,85.0,50.0,73.68421173095703,71.42857360839844,73.68421173095703,63.15789031982422,57.142860412597656,76.19047546386719,220110.0915527344,106857.3510131836,0,404331982848,8589930496,6234099712,0
199,1780936305517,800,2100,800,2100,802,800,2000,800,800,800,800,2099,854,800,2100,2200,72.22222137451172,65.0,80.0,52.6315803527832,90.0,55.55555725097656,80.95238494873047,100.0,80.95238494873047,61.904762268066406,85.0,47.36842346191406,55.0,50.0,89.47368621826172,75.0,220113.6304321289,106866.93133544922,0,404331982848,8589930496,6238093312,0
200,1780936305717,800,2100,800,2100,802,800,2000,800,800,800,800,2099,854,800,2100,2200,70.0,68.42105102539062,60.00000381469727,90.47618865966795,36.84210586547852,65.0,84.21052551269531,76.19047546386719,57.89473724365234,77.77777862548828,75.0,80.0,80.0,60.00000381469727,75.0,85.0,220117.20275878903,106876.80126953124,0,404331982848,8589930496,6253780992,0
199,1780936305917,800,2100,800,2100,802,800,2000,800,800,800,800,2099,854,800,2100,2200,40.0,55.55555725097656,47.36842346191406,75.0,65.0,70.0,80.0,47.36842346191406,52.6315803527832,66.66667175292969,50.0,73.68421173095703,57.142860412597656,75.0,47.36842346191406,50.0,220120.7823486328,106886.1473388672,0,404331982848,8589930496,6257094656,0
199,1780936306117,800,2100,800,2100,802,800,2000,800,800,800,800,2099,854,800,2100,2200,84.21052551269531,85.71428680419922,75.0,42.105262756347656,100.0,73.68421173095703,75.0,63.15789031982422,95.0,73.68421173095703,78.94737243652344,85.0,89.47368621826172,89.47368621826172,68.42105102539062,57.142860412597656,220124.1279296875,106896.48181152344,0,404331982848,8589930496,6253735936,0
200,1780936306317,800,2100,800,2100,802,800,2000,800,800,800,800,2099,854,800,2100,2200,76.19047546386719,95.0,63.15789031982422,85.0,90.47618865966795,65.0,65.0,80.0,90.0,75.0,75.0,60.00000381469727,80.0,90.0,95.0,77.77777862548828,220127.6470336914,106906.53735351564,0,404331982848,8589930496,6255804416,0
199,1780936306517,800,2100,800,2100,802,800,2000,800,800,800,800,2099,854,800,2100,2200,38.88888931274414,75.0,60.00000381469727,55.0,77.77777862548828,75.0,78.94737243652344,55.0,31.57894515991211,42.105262756347656,57.142860412597656,78.94737243652344,63.15789031982422,57.142860412597656,70.0,55.0,220131.24114990237,106915.75842285156,0,404331982848,8589930496,6259331072,0
201,1780936306717,800,2100,800,2100,802,800,2000,800,800,800,800,2099,854,800,2100,2200,60.00000381469727,45.0,60.00000381469727,52.6315803527832,75.0,42.105262756347656,40.0,42.105262756347656,60.00000381469727,60.00000381469727,84.21052551269531,47.619049072265625,66.66667175292969,47.36842346191406,31.57894515991211,60.00000381469727,220134.72094726565,106925.03802490234,0,404331982848,8589930496,6264172544,0
199,1780936306919,800,2100,800,2100,802,800,2000,800,800,800,800,2099,854,800,2100,2200,65.0,66.66667175292969,80.0,75.0,63.6363639831543,70.0,47.36842346191406,50.0,71.42857360839844,84.21052551269531,61.904762268066406,70.0,78.94737243652344,55.0,71.42857360839844,73.68421173095703,220138.2584228516,106934.79010009766,0,404331982848,8589930496,6260944896,0
199,1780936307119,800,2100,800,2100,802,800,2000,800,800,800,800,2099,854,800,2100,2200,85.0,70.0,85.71428680419922,71.42857360839844,47.36842346191406,70.0,78.94737243652344,70.0,68.42105102539062,42.85714340209961,63.15789031982422,52.6315803527832,57.142860412597656,60.00000381469727,78.94737243652344,71.42857360839844,220141.77862548828,106944.27160644533,0,404331982848,8589930496,6262595584,0
