Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/auth/cart/{code}/checkout,4114,0,360.0,385.96720629558087,75.43470000018715,1174.6045999998387,2732.505833738454,5.713126200730702,0.0,360,420,460,490,580,660,760,830,1000,1200,1200
GET,/api/v1/auth/customer/cart,4120,0,340.0,362.9064093689414,44.49360000035085,1264.4596999998612,1430.8252427184466,5.721458421733226,0.0,340,400,450,480,560,630,720,780,1000,1300,1300
GET,/api/v1/auth/customer/profile,4131,0,320.0,344.85046717503195,24.85690000048635,1122.3681999999826,946.9106753812637,5.736734160237853,0.0,320,380,430,460,540,620,720,770,1000,1100,1100
GET,/api/v1/auth/orders,4130,0,330.0,357.10587552058234,28.72289999959321,1121.143999999731,78.0,5.7353454567374325,0.0,330,400,440,470,570,650,740,810,1000,1100,1100
POST,/api/v1/cart [Create],10311,1,330.0,358.7648698089425,36.161600000014005,1324.0412999994078,1430.7939094171275,14.318921792837692,0.0013887035004206858,330,400,450,480,560,640,730,810,1000,1200,1300
POST,/api/v1/cart/{code}/checkout,6160,0,370.0,388.95638521103933,68.071400000008,2412.3653000006016,2692.5512987012985,8.554413562591424,0.0,370,430,480,510,590,670,770,820,1100,2400,2400
POST,/api/v1/cart/{code}/shipping,6172,0,330.0,351.35343671419025,32.04829999958747,1189.7112000006018,270.0,8.571078004596474,0.0,330,390,440,470,560,630,730,820,1000,1200,1200
GET,/api/v1/cart/{code}/total,6170,0,330.0,351.9797114586646,30.638600000202132,1094.1609999999855,372.0,8.568300597595632,0.0,330,400,440,470,560,640,720,780,980,1100,1100
GET,/api/v1/category,192697,0,310.0,340.04078558565925,15.215899999930116,2100.4032999999254,80.0,267.5989984205649,0.0,310,380,430,460,540,620,720,790,1000,1300,2100
GET,/api/v1/config,193241,0,320.0,342.77541605352974,14.985799999521987,2594.580300000416,287.0,268.3544531247938,0.0,320,390,430,460,550,620,720,790,1000,1200,2600
GET,/api/v1/content/boxes,192886,0,310.0,337.2757968758753,16.405899999881512,3091.551999999865,75.0,267.86146338214445,0.0,310,380,420,450,540,620,710,790,1000,1200,3100
POST,/api/v1/customer/login,4138,0,570.0,594.4957390768462,141.38890000049287,2532.0305000004737,247.91251812469793,5.7464550847407985,0.0,570,660,720,760,880,980,1100,1200,1500,2500,2500
POST,/api/v1/customer/register,4142,0,810.0,829.4073772815046,345.67020000031334,2031.9697999993878,247.91356832448093,5.752009898742481,0.0,810,890,950,1000,1100,1200,1300,1400,1600,2000,2000
GET,/api/v1/store/languages,193129,0,310.0,331.65707396403417,13.052000000243424,1431.1960000004547,34.0,268.19891833274664,0.0,310,370,420,450,530,610,700,780,990,1200,1400
GET,/api/v2/product/friendly/t-shirt?lang=en,6204,0,320.0,346.8215186815008,24.002399999517365,1247.3060000002079,1541.769342359768,8.615516516609935,0.0,320,390,440,470,550,630,720,800,1100,1200,1200
GET,/api/v2/product/name/t-shirt?lang=en,192444,0,320.0,346.4078469580743,18.966999999975087,2271.3291000000027,1541.774277192326,267.24765643495846,0.0,320,390,430,460,550,630,720,790,1000,1200,2300
POST,/api/v2/product/{id}/variation,6196,0,320.0,346.0083275016123,21.730300000854186,1397.2501999996894,118.0,8.60440688860657,0.0,320,390,430,470,550,630,720,800,1000,1400,1400
,Aggregated,1030385,1,320.0,343.7011434824843,13.052000000243424,3091.551999999865,444.1388665401767,1430.8992562809685,0.0013887035004206858,320,380,430,460,550,630,730,810,1100,1400,3100
