Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1781085685792,2100,2007,800,1251,882,800,800,1667,799,800,799,956,800,800,800,1358,42.105262756347656,65.0,42.105262756347656,52.6315803527832,95.0,71.42857360839844,30.000001907348636,85.0,61.904762268066406,44.4444465637207,70.0,68.42105102539062,52.6315803527832,80.95238494873047,65.0,42.105262756347656,76908.8627319336,188873.8619995117,0,404331982848,8589930496,5986316288,0
199,1781085685992,2100,2007,800,1251,882,800,800,1667,799,800,799,956,800,800,800,1358,42.105262756347656,55.0,90.47618865966795,73.68421173095703,75.0,68.42105102539062,52.6315803527832,65.0,75.0,50.0,57.89473724365234,66.66667175292969,50.0,72.22222137451172,61.904762268066406,60.00000381469727,76912.26043701172,188883.21752929688,0,404331982848,8589930496,5984391168,0
199,1781085686192,2100,2007,800,1251,882,800,800,1667,799,800,799,956,800,800,800,1358,68.42105102539062,55.0,47.36842346191406,70.0,63.15789031982422,68.42105102539062,42.105262756347656,50.0,100.0,50.0,80.0,63.15789031982422,80.0,65.0,80.0,70.0,76915.71447753906,188892.98181152344,0,404331982848,8589930496,5992787968,0
199,1781085686392,2100,2007,800,1251,882,800,800,1667,799,800,799,956,800,800,800,1358,55.0,55.0,57.89473724365234,80.95238494873047,45.0,52.6315803527832,65.0,60.00000381469727,52.6315803527832,55.0,68.42105102539062,57.142860412597656,63.15789031982422,65.0,73.68421173095703,65.0,76919.17120361328,188902.35815429688,0,404331982848,8589930496,5994405888,0
199,1781085686592,2100,2007,800,1251,882,800,800,1667,799,800,799,956,800,800,800,1358,45.0,55.55555725097656,36.84210586547852,77.77777862548828,70.0,55.0,55.0,42.105262756347656,42.85714340209961,63.15789031982422,63.15789031982422,75.0,35.0,65.0,47.36842346191406,68.42105102539062,76922.58776855469,188911.5830078125,0,404331982848,8589930496,5996785664,0
200,1781085686792,2100,2007,800,1251,882,800,800,1667,799,800,799,956,800,800,800,1358,72.22222137451172,71.42857360839844,66.66667175292969,66.66667175292969,94.73684692382812,80.0,57.89473724365234,50.0,52.6315803527832,47.619049072265625,71.42857360839844,85.0,30.000001907348636,68.42105102539062,75.0,65.0,76926.03790283203,188921.04766845703,0,404331982848,8589930496,6001770496,0
199,1781085686993,2100,2007,800,1251,882,800,800,1667,799,800,799,956,800,800,800,1358,71.42857360839844,57.89473724365234,95.0,60.00000381469727,65.0,50.0,52.6315803527832,75.0,70.0,52.6315803527832,57.89473724365234,63.15789031982422,57.89473724365234,75.0,70.0,50.0,76929.57507324219,188930.61846923828,0,404331982848,8589930496,6005649408,0
199,1781085687193,2100,2007,800,1251,882,800,800,1667,799,800,799,956,800,800,800,1358,50.0,75.0,84.21052551269531,60.00000381469727,70.0,55.0,70.0,57.89473724365234,95.0,55.0,42.85714340209961,65.0,66.66667175292969,40.0,57.89473724365234,68.42105102539062,76933.1351928711,188940.02880859372,0,404331982848,8589930496,6005592064,0
199,1781085687393,2100,2007,800,1251,882,800,800,1667,799,800,799,956,800,800,800,1358,55.55555725097656,76.19047546386719,66.66667175292969,85.71428680419922,42.105262756347656,55.0,57.142860412597656,36.84210586547852,47.36842346191406,60.00000381469727,61.11111068725586,63.15789031982422,50.0,55.0,61.904762268066406,40.0,76936.55053710938,188949.3767089844,0,404331982848,8589930496,6020501504,0
199,1781085687593,2100,2007,800,1251,882,800,800,1667,799,800,799,956,800,800,800,1358,70.0,57.89473724365234,75.0,45.0,50.0,52.6315803527832,70.0,68.42105102539062,70.0,90.0,65.0,47.36842346191406,50.0,60.00000381469727,80.0,78.94737243652344,76940.05798339844,188958.91595458984,0,404331982848,8589930496,6021378048,0
