Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,00A_Register,200,0,160.0,168.1445684999744,64.40089999887277,1014.7757000013371,33.0,0.3333347543141223,0.0,160,180,200,210,220,230,270,1000,1000,1000,1000
POST,00b_PostAddress,200,0,92,106.76852150008926,21.557000000029802,798.0514999981096,33.0,0.3333347543141223,0.0,93,110,120,130,160,170,210,800,800,800,800
POST,00c_PostCard,200,0,97,206.1088055000073,21.350799997890135,769.7799999987183,33.0,0.3333347543141223,0.0,99,120,140,580,680,710,720,750,770,770,770
GET,01_Home,82797,1,54,60.50579699869399,14.52419999986887,791.4638000002014,8648.895672548522,137.99558826473194,0.0016666737715706115,54,64,69,77,87,98,110,130,670,770,790
POST,03_AddToCart,82777,2,95,108.9184983026711,26.85120000023744,884.5718000011402,0.0002657743092888121,137.96225478930052,0.003333347543141223,95,110,120,130,160,180,220,610,820,860,880
POST,04_Checkout,82675,0,190.0,213.30019149804343,48.57629999969504,1659.8239000013564,591.9970486846084,137.79225406460031,0.0,190,220,250,260,320,390,630,770,1000,1100,1700
DELETE,05_CleanupCart,82642,4,73,80.49577247282896,20.368699999380624,759.033599999384,0.00026620846542920064,137.73725383013849,0.006666695086282446,73,83,93,96,110,130,150,170,730,750,760
,Aggregated,331491,7,87,115.86671839658213,14.52419999986887,1659.8239000013564,2307.9535040167,552.4873552117136,0.011666716400994282,87,110,140,160,220,270,370,600,880,1100,1700
