Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1780317466639,1200,1100,877,1000,925,927,1400,1000,899,1177,1057,800,899,2100,1799,800,38.88888931274414,100.0,44.4444465637207,57.89473724365234,50.0,42.85714340209961,42.105262756347656,50.0,75.0,38.88888931274414,40.0,42.105262756347656,47.36842346191406,36.84210586547852,50.0,50.0,114461.46478271484,199301.2608642578,0,404331364352,8589930496,34583257088,66023424
199,1780317466839,1200,1100,877,1000,925,927,1400,1000,899,1177,1057,800,899,2100,1799,800,38.88888931274414,100.0,44.4444465637207,57.89473724365234,50.0,42.85714340209961,42.105262756347656,50.0,75.0,38.88888931274414,40.0,42.105262756347656,47.36842346191406,36.84210586547852,50.0,50.0,114466.91033935548,199309.6220703125,0,404331364352,8589930496,34590994432,66023424
199,1780317467039,1200,1100,877,1000,925,927,1400,1000,899,1177,1057,800,899,2100,1799,800,64.70588684082031,63.15789031982422,50.0,50.0,42.105262756347656,55.0,52.6315803527832,45.0,42.105262756347656,36.84210586547852,35.29411697387695,65.0,44.4444465637207,78.94737243652344,42.105262756347656,44.4444465637207,114472.66876220705,199317.9946899414,0,404331364352,8589930496,34603896832,66023424
199,1780317467239,1200,1100,877,1000,925,927,1400,1000,899,1177,1057,800,899,2100,1799,800,58.97436141967773,57.89473724365234,73.68421173095703,62.16216278076172,68.42105102539062,63.15789031982422,57.89473724365234,70.27027130126953,69.23077392578125,56.75675964355469,60.52631759643555,59.4594612121582,56.75675964355469,76.92308044433594,69.23077392578125,75.0,114478.77075195312,199327.17431640625,0,404331364352,8589930496,34597634048,66023424
200,1780317467439,1200,1100,877,1000,925,927,1400,1000,899,1177,1057,800,899,2100,1799,800,90.0,80.0,89.47368621826172,85.0,90.0,85.71428680419922,89.47368621826172,85.0,77.77777862548828,89.47368621826172,78.94737243652344,76.19047546386719,89.47368621826172,78.94737243652344,89.47368621826172,83.33332824707031,114485.2371826172,199336.9994506836,0,404331364352,8589930496,34576605184,66023424
199,1780317467639,1200,1100,877,1000,925,927,1400,1000,899,1177,1057,800,899,2100,1799,800,80.0,84.21052551269531,80.0,85.71428680419922,90.47618865966795,88.8888931274414,88.8888931274414,89.47368621826172,83.33332824707031,85.0,89.47368621826172,78.94737243652344,85.71428680419922,84.21052551269531,90.0,84.21052551269531,114491.75775146484,199346.7386474609,0,404331364352,8589930496,34569674752,66023424
199,1780317467840,1200,1100,877,1000,925,927,1400,1000,899,1177,1057,800,899,2100,1799,800,61.11111068725586,72.22222137451172,72.22222137451172,83.33332824707031,78.94737243652344,70.0,65.0,57.89473724365234,75.0,58.82353210449219,63.15789031982422,72.22222137451172,73.68421173095703,94.44444274902344,66.66667175292969,60.00000381469727,114497.83697509766,199355.9930419922,0,404331364352,8589930496,34579013632,66023424
199,1780317468040,1200,1100,877,1000,925,927,1400,1000,899,1177,1057,800,899,2100,1799,800,61.11111068725586,72.22222137451172,72.22222137451172,83.33332824707031,78.94737243652344,70.0,65.0,57.89473724365234,75.0,58.82353210449219,63.15789031982422,72.22222137451172,73.68421173095703,94.44444274902344,66.66667175292969,60.00000381469727,114503.81048583984,199364.524597168,0,404331364352,8589930496,34585051136,66023424
199,1780317468240,1200,1100,877,1000,925,927,1400,1000,899,1177,1057,800,899,2100,1799,800,45.0,42.85714340209961,36.84210586547852,33.333335876464844,22.22222328186035,40.0,42.105262756347656,55.0,36.84210586547852,35.29411697387695,31.57894515991211,27.77777862548828,42.105262756347656,31.57894515991211,36.84210586547852,31.57894515991211,114509.07794189452,199371.93560791016,0,404331364352,8589930496,34586599424,66023424
199,1780317468440,1200,1100,877,1000,925,927,1400,1000,899,1177,1057,800,899,2100,1799,800,45.0,42.85714340209961,36.84210586547852,33.333335876464844,22.22222328186035,40.0,42.105262756347656,55.0,36.84210586547852,35.29411697387695,31.57894515991211,27.77777862548828,42.105262756347656,31.57894515991211,36.84210586547852,31.57894515991211,114514.98748779295,199380.93432617188,0,404331364352,8589930496,34580856832,66023424
