Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1780314246219,800,800,1479,800,840,968,830,900,999,845,900,2499,800,830,799,2100,42.105262756347656,100.0,42.105262756347656,70.0,45.0,47.36842346191406,31.57894515991211,38.88888931274414,47.619049072265625,33.333335876464844,31.57894515991211,42.105262756347656,47.36842346191406,47.619049072265625,38.88888931274414,60.00000381469727,29668.454223632812,64211.90948486328,0,404331364352,8589930496,34678718464,66023424
199,1780314246419,800,800,1479,800,840,968,830,900,999,845,900,2499,800,830,799,2100,73.68421173095703,79.4871826171875,63.15789031982422,70.0,71.79487609863281,82.5,84.61538696289062,76.92308044433594,76.31578826904297,75.67567443847656,72.97296905517578,71.79487609863281,71.79487609863281,75.67567443847656,76.92308044433594,73.68421173095703,29674.576049804688,64221.23895263672,0,404331364352,8589930496,34729709568,66023424
199,1780314246619,800,800,1479,800,840,968,830,900,999,845,900,2499,800,830,799,2100,75.0,63.15789031982422,65.0,68.42105102539062,63.15789031982422,84.21052551269531,100.0,77.77777862548828,63.15789031982422,63.15789031982422,75.0,66.66667175292969,70.0,89.47368621826172,75.0,60.00000381469727,29680.38647460937,64230.28662109375,0,404331364352,8589930496,34737692672,66023424
199,1780314246819,800,800,1479,800,840,968,830,900,999,845,900,2499,800,830,799,2100,75.0,63.15789031982422,65.0,68.42105102539062,63.15789031982422,84.21052551269531,100.0,77.77777862548828,63.15789031982422,63.15789031982422,75.0,66.66667175292969,70.0,89.47368621826172,75.0,60.00000381469727,29686.874145507812,64240.12371826172,0,404331364352,8589930496,34757365760,66023424
199,1780314247019,800,800,1479,800,840,968,830,900,999,845,900,2499,800,830,799,2100,62.16216278076172,56.41025924682617,71.79487609863281,48.71794891357422,67.5,75.0,64.10256958007812,47.5,62.16216278076172,69.23077392578125,62.16216278076172,64.10256958007812,64.86486053466797,65.0,86.84210968017578,66.66667175292969,29692.35968017578,64247.958251953125,0,404331364352,8589930496,34758676480,66023424
199,1780314247219,800,800,1479,800,840,968,830,900,999,845,900,2499,800,830,799,2100,65.0,64.70588684082031,61.11111068725586,55.55555725097656,60.00000381469727,50.0,75.0,55.0,63.15789031982422,55.55555725097656,70.0,63.15789031982422,66.66667175292969,61.11111068725586,75.0,47.36842346191406,29698.224548339844,64256.76184082031,0,404331364352,8589930496,34759524352,66023424
199,1780314247419,800,800,1479,800,840,968,830,900,999,845,900,2499,800,830,799,2100,11.111111640930176,30.000001907348636,10.0,11.111111640930176,5.555555820465088,15.000000953674316,100.0,11.111111640930176,25.0,15.789472579956056,21.052631378173828,15.789472579956056,15.789472579956056,20.0,10.526315689086914,15.000000953674316,29703.07568359375,64263.31518554688,0,404331364352,8589930496,34759942144,66023424
200,1780314247619,800,800,1479,800,840,968,830,900,999,845,900,2499,800,830,799,2100,55.0,52.6315803527832,63.15789031982422,47.36842346191406,47.619049072265625,44.4444465637207,100.0,52.38095474243164,50.0,65.0,52.6315803527832,50.0,60.00000381469727,50.0,44.4444465637207,47.05882263183594,29708.870727539062,64271.60241699219,0,404331364352,8589930496,34750775296,66023424
199,1780314247820,800,800,1479,800,840,968,830,900,999,845,900,2499,800,830,799,2100,78.94737243652344,70.0,73.68421173095703,60.00000381469727,72.22222137451172,63.15789031982422,100.0,55.55555725097656,63.15789031982422,70.0,63.15789031982422,65.0,57.89473724365234,65.0,60.00000381469727,57.142860412597656,29714.920288085938,64280.69592285156,0,404331364352,8589930496,34747842560,66023424
199,1780314248020,800,800,1479,800,840,968,830,900,999,845,900,2499,800,830,799,2100,68.42105102539062,55.55555725097656,47.36842346191406,55.0,47.619049072265625,45.0,100.0,44.4444465637207,63.15789031982422,50.0,50.0,57.89473724365234,55.0,52.6315803527832,44.4444465637207,44.4444465637207,29720.73999023437,64289.15539550781,0,404331364352,8589930496,34749243392,66023424
199,1780314248220,800,800,1479,800,840,968,830,900,999,845,900,2499,800,830,799,2100,68.42105102539062,55.55555725097656,47.36842346191406,55.0,47.619049072265625,45.0,100.0,44.4444465637207,63.15789031982422,50.0,50.0,57.89473724365234,55.0,52.6315803527832,44.4444465637207,44.4444465637207,29726.785583496094,64298.282653808594,0,404331364352,8589930496,34756354048,66023424
199,1780314248420,800,800,1479,800,840,968,830,900,999,845,900,2499,800,830,799,2100,82.05128479003906,74.35897827148438,71.05262756347656,65.78947448730469,67.56756591796875,71.79487609863281,95.0,66.66667175292969,71.05262756347656,67.56756591796875,70.27027130126953,74.35897827148438,75.67567443847656,72.97296905517578,68.42105102539062,68.42105102539062,29733.13507080078,64307.948303222656,0,404331364352,8589930496,34759344128,66023424
