Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,00_Admin_Auto_Register,135,0,230.0,257.63229259251534,144.31379999950877,913.6284000014712,239.0,0.22499445484833994,0.0,230,260,290,310,370,440,510,910,910,910,910
GET,01_Admin_Order,756,0,170.0,192.79684828042645,43.19229999964591,1206.305899999279,1143686.3161375662,1.2599689471507036,0.0,170,190,210,230,290,440,560,720,1200,1200,1200
POST,01_Query_Routes,5072,0,560.0,597.9759849763379,160.64120000010007,4114.9820999999065,327.0,8.453124999931704,0.0,560,710,810,870,1000,1100,1200,1400,2100,4100,4100
PUT,02_Admin_Update_Order,754,0,65,72.59626392568372,26.803300002939068,230.11979999864707,485.91114058355436,1.2566356959677651,0.0,65,79,87,95,110,130,160,190,230,230,230
GET,02_Select_Contact,5065,0,64,67.47210096744243,19.656599997688318,908.4371000026294,459.0,8.44145862079142,0.0,64,78,81,91,110,120,140,160,310,910,910
GET,03_Admin_Route,752,0,65,70.61221409569836,22.45020000191289,400.3785999993852,1793.0,1.2533024447848269,0.0,65,80,92,95,110,120,130,140,400,400,400
GET,03_Visit_Booking_Page,5054,0,58,61.067122516788,16.317900001013186,259.508499999356,37992.0,8.42312573928526,0.0,58,68,79,81,96,110,130,140,220,260,260
POST,04_Admin_Update_Route,751,0,67,73.97107816238874,26.374499997473322,396.2503000002471,235.0,1.2516358191933576,0.0,67,80,93,96,110,130,140,160,400,400,400
POST,04_Confirm_Booking,4981,3,1200.0,3486.965789781204,266.48369999747956,60106.42089999965,46.086127283677975,8.30146207110801,0.004999876774407554,1200,2200,3400,4500,9800,16000,23000,29000,58000,60000,60000
GET,05_Admin_Route,750,0,140.0,158.7497740000496,76.06099999975413,1213.8109000006807,5482.050666666667,1.2499691936018884,0.0,140,160,170,170,220,290,410,480,1200,1200,1200
POST,05_Fetch_Unpaid_Orders,4972,0,82,89.12357051484864,28.92939999946975,938.2255000018631,7811.7216411906675,8.286462440784787,0.0,82,96,110,110,130,140,160,190,340,940,940
PUT,06_Admin_Update_Travel,747,0,67,74.02677496650149,26.262600000336533,233.2434000018111,272.0,1.244969316827481,0.0,67,81,94,96,110,130,160,180,230,230,230
POST,06_Pay_Order,4964,3,120.0,125.93088368254583,43.40610000144807,946.1491000001843,60.331587429492345,8.273129436053033,0.004999876774407554,120,140,150,160,180,200,230,270,530,950,950
GET,07_Admin_Get_User,743,0,67,74.57175881549655,26.710499998443993,256.8621999998868,25395.830417227455,1.2383028144616042,0.0,67,80,93,96,110,130,160,180,260,260,260
GET,07_Collect_Ticket,4954,3,78,80.03530242229805,25.282799997512484,958.4813000001304,40.06297941057731,8.256463180138342,0.004999876774407554,78,89,96,100,120,130,160,180,430,960,960
POST,0AA_LoginAdmin,135,0,210.0,233.44781777769742,132.5414000020828,571.6465999976208,341.0,0.22499445484833994,0.0,210,240,280,290,340,400,530,540,570,570,570
POST,0A_Login,135,0,200.0,218.95304518515735,112.68969999946421,783.4344000002602,370.0,0.22499445484833994,0.0,200,220,250,260,360,410,480,510,780,780,780
,Aggregated,40720,9,96,568.5509503904697,16.317900001013186,60106.42089999965,27637.33956286837,67.8649940846252,0.014999630323222662,96,140,230,370,840,1700,5900,11000,32000,58000,60000
