Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,00A_Register,238,0,260.0,283.9404983192979,74.32610000068962,982.9413000006753,33.0,0.33755197521661895,0.0,270,290,330,330,420,640,910,960,980,980,980
POST,00b_PostAddress,238,0,110.0,209.1290441175788,21.49749999989581,8577.871999999843,33.0,0.33755197521661895,0.0,110,120,130,140,180,230,920,2500,8600,8600,8600
POST,00c_PostCard,236,0,110.0,207.0403991525243,27.86240000023099,8594.652399999177,33.0,0.3347154039963112,0.0,120,140,150,170,450,480,820,830,8600,8600,8600
GET,01_Home,91779,0,67,73.79962031837243,17.85790000030829,8567.7596000005,8649.0,130.1688350143112,0.0,67,77,84,90,110,120,140,170,660,1000,8600
POST,03_AddToCart,91718,0,140.0,151.695247495581,40.42949999893608,8826.317199998812,0.0,130.08231959209184,0.0,140,160,170,180,210,240,280,330,700,8800,8800
POST,04_Checkout,91659,0,200.0,211.21825962862434,51.73289999947883,8942.656100000022,592.0,129.99864074109274,0.0,200,220,240,250,280,310,370,450,1100,8900,8900
DELETE,05_CleanupCart,91599,0,110.0,120.4226866647043,37.68760000093607,8887.252900000021,0.0,129.91354360448352,0.0,110,130,140,140,160,180,220,240,610,8900,8900
,Aggregated,367467,0,130.0,139.45008472434236,17.85790000030829,8942.656100000022,2307.913894308877,521.1731583064088,0.0,130,150,170,190,220,260,310,360,760,8900,8900
