Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,00A_Register,200,1,150.0,177.81961600000497,51.60969999997178,1082.8844999999774,32.89,0.3254710228283053,0.0016273551141415266,150,170,180,200,220,270,950,1000,1100,1100,1100
POST,00b_PostAddress,200,0,90,107.26686200000019,24.15469999994002,1002.3820999999771,33.265,0.3254710228283053,0.0,90,110,120,120,150,180,340,990,1000,1000,1000
POST,00c_PostCard,200,0,83,101.1452795000037,21.559300000035364,990.5307999999877,33.265,0.3254710228283053,0.0,83,95,110,120,150,180,230,950,990,990,990
GET,01_Home,82663,1,70,77.39694767671132,15.872100000024147,1443.2199999999966,8648.895503429587,134.522055800281,0.0016273551141415266,70,82,90,96,110,130,150,190,580,1400,1400
POST,03_AddToCart,82614,3,120.0,125.81127251676402,28.882899999985057,1446.3359000000082,0.00039944803544193476,134.44231539968808,0.00488206534242458,120,140,150,160,180,200,240,340,690,980,1400
POST,04_Checkout,82550,449,200.0,207.92313230284677,29.90700000009383,1764.9265000000014,589.0150696547547,134.33816467238302,0.7306824462495455,200,220,240,260,300,330,400,460,780,990,1800
DELETE,05_CleanupCart,82503,4,93,99.6782469946547,21.996700000045166,1436.6565000000264,0.0,134.26167898201837,0.006509420456566106,93,110,110,120,140,160,180,250,600,1400,1400
,Aggregated,330930,458,110.0,127.69072519384763,15.872100000024147,1764.9265000000014,2307.396609554891,538.5406279228554,0.7453286422768192,110,140,160,170,220,270,330,390,690,1100,1800
