Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,00A_Register,200,0,170.0,177.56135149995316,70.75269999950251,404.44359999855806,33.0,0.32442552157842447,0.0,170,200,210,230,240,270,310,320,400,400,400
POST,00b_PostAddress,200,0,80,95.00043250004637,22.98010000049544,787.0702000000165,33.0,0.32442552157842447,0.0,80,94,110,120,140,160,260,300,790,790,790
POST,00c_PostCard,200,0,82,105.0378945000466,20.591099999364815,831.6197999993165,33.0,0.32442552157842447,0.0,82,95,110,120,140,180,630,700,830,830,830
GET,01_Home,80383,0,66,72.36291676597747,16.794999999547144,3366.6209999992134,8649.0,130.39148350519247,0.0,66,77,84,90,110,120,140,160,560,760,3400
POST,03_AddToCart,80350,0,150.0,157.43672589047813,40.93220000140718,3426.6249000011157,0.0,130.33795329413203,0.0,150,170,180,190,220,250,290,340,670,3000,3400
POST,04_Checkout,80266,0,190.0,205.50535614332674,41.04399999960151,3504.665799999202,591.999950165699,130.2016945750691,0.0,190,220,230,240,280,310,370,450,730,3100,3500
DELETE,05_CleanupCart,80227,1,120.0,123.66146979695444,30.595500000345055,3366.158099999666,0.00013711094768594114,130.13843159836128,0.0016221276078921222,120,130,140,150,170,190,230,280,610,1100,3400
,Aggregated,321826,1,130.0,139.69782072610673,16.794999999547144,3504.665799999202,2307.9858246381586,522.0428395374902,0.0016221276078921222,130,160,180,190,230,260,310,360,670,3100,3500
