Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,00_Admin_Auto_Register,135,0,230.0,255.72475925925602,142.8089999999429,1140.219700000216,239.0,0.2250054347337684,0.0,230,250,280,290,340,410,630,1100,1100,1100,1100
GET,01_Admin_Order,756,0,170.0,202.75153941799633,53.10079999981099,1049.801699999989,1120655.6917989417,1.2600304345091031,0.0,170,210,230,250,370,490,610,650,1000,1000,1000
POST,01_Query_Routes,4980,0,560.0,607.6958776706844,147.0219999996516,4370.919500000127,327.0,8.300200481290124,0.0,560,740,850,910,1000,1200,1300,1400,3700,4400,4400
PUT,02_Admin_Update_Order,752,0,68,73.16618723404314,23.1816999998955,288.4331000000202,485.91223404255317,1.2533636068132878,0.0,68,80,94,96,110,130,150,160,290,290,290
GET,02_Select_Contact,4972,0,61,63.3394248189856,16.383700000005774,526.817100000244,459.0,8.286866825898493,0.0,61,71,80,83,97,110,130,140,220,530,530
GET,03_Admin_Route,751,0,64,67.25325805593833,22.45260000017879,490.74739999969097,1793.0,1.2516968998893339,0.0,64,79,83,94,98,110,130,140,490,490,490
GET,03_Visit_Booking_Page,4964,0,52,57.07903634166571,14.15229999975054,226.20920000008482,37992.0,8.273533170506862,0.0,52,65,76,80,95,110,120,130,210,230,230
POST,04_Admin_Update_Route,750,0,67,73.06799920000161,24.543900000026042,235.94109999976354,235.0,1.25003019296538,0.0,67,81,94,96,110,130,160,170,240,240,240
POST,04_Confirm_Booking,4890,1,1200.0,3681.670656605317,244.86739999974816,60081.098000000115,46.02924335378323,8.150196858134278,0.00166670692395384,1200,2400,4000,5400,10000,16000,24000,31000,46000,60000,60000
GET,05_Admin_Route,746,0,130.0,144.59353780161862,70.72359999983746,1173.2928999999785,5482.025469168901,1.2433633652695648,0.0,130,140,160,160,200,250,350,400,1200,1200,1200
POST,05_Fetch_Unpaid_Orders,4882,0,80,83.52266702170877,28.545500000291213,331.1313999997765,7683.712617779598,8.136863202742648,0.0,80,94,97,110,120,140,160,170,260,330,330
PUT,06_Admin_Update_Travel,744,0,66,71.65056922042244,24.500399999851652,199.1651999996975,272.0,1.240029951421657,0.0,66,79,89,94,110,130,150,170,200,200,200
POST,06_Pay_Order,4873,1,110.0,121.75209464395908,44.89790000025096,1222.4950999998327,60.11266160476093,8.121862840427063,0.00166670692395384,110,130,140,150,170,190,230,280,970,1200,1200
GET,07_Admin_Get_User,743,0,65,70.76960686406008,22.31919999985621,267.928799999936,25406.314939434724,1.2383632444977033,0.0,65,80,92,95,110,130,140,150,270,270,270
GET,07_Collect_Ticket,4860,1,72,76.7990355967125,22.566099999949074,884.2125000001033,40.02139917695473,8.100195650415664,0.00166670692395384,72,82,95,96,110,130,150,170,650,880,880
POST,0AA_LoginAdmin,135,0,200.0,230.6830244444427,134.07729999971707,671.2046000002374,341.0,0.2250054347337684,0.0,200,230,260,270,330,410,620,670,670,670,670
POST,0A_Login,135,0,200.0,210.6473192592771,121.48980000029042,543.8788999999815,370.0,0.2250054347337684,0.0,200,210,230,250,330,390,430,540,540,540,540
,Aggregated,40068,3,95,589.5908520789676,14.15229999975054,60081.098000000115,27531.404113007888,66.78161302898246,0.00500012077186152,95,130,230,360,870,1700,6700,12000,33000,46000,60000
